Year,Artist,Song,Peak_Pos_That_Year,Full_Release_Year,Lyrics
1990,Maxi Priest,Close To You,1,1990-06-27,"She was a Jezebel | Miss Brixton queen | Living her life like a bad sweet dream | Telling me lies when the truth was clear | I think she knew what I wanted to hear | Spinning around | Like a wheel on fire | Walking the tightrope on love's highwire | A fatal attraction is where I'm at | There's no escaping me |  | I just wanna be close to you | And do all the things you want me to | I just wanna be close to you | And show you the way I feel |  | I feel love | When I'm lying in the midnight hour | Holding you's just like a dream | Love is never what it seems | When we touch | And you're holding me the way you feel | Girl, you make my dreams come true | You make my dreams come true |  | I just wanna be close to you | And do all the things you want me to | I just wanna be close to you | And show you the way I feel |  | She was a Gemini on the cusp of Mars | She holds me back | But she goes too far | Winding me up just to let me down | So emotional | Gagged and bound | There's more to this than meets the eye | A devil woman locked inside | With the formal rising | I was scared | I think I was possesed |  | I just wanna be close to you | And do all the things you want me to | I just wanna be close to you | And show you the way I feel | I feel love | Everytime your body's next to mine | Somethin' deep inside of me | Wants to love you endlessly | When we touch | Girl, you don't know | How it makes me feel | I just can't believe it's real | I can't believe it's real! | I just wanna be close to you | And do all the things you want me to | I just wanna be close to you | And show you the way I feel |  | She had an attitude | I can't explain | You never know if you're in flame | Tying me up with elastic words | I'm on a countdown till I get hurt | Her blood was hot | She burned so bright | A neon sign there in the night | It's hard to say if I went too far | My heart still bears a scar |  | I just wanna be close to you | I just wanna be close to you | I just wanna be close to you | (She was a Jezebel | This Brixton queen | Living her life like a bad sweet dream) | Telling me lies | When the truth was clear | I think she knew what I wanted to hear | I just wanna be close to you | (Spinning around like a wheel on fire) | Walkin' the tightrope on love's highwire | A fatal attraction is where I'm at | There's no escaping me | I wanna be close to you | And do all the things you want me to | I just wanna be close to you | (I just wanna be close to you, baby) | And show you the way I feel | I just wanna be close to you | And do all the things you want me to | I just wanna be close to you | And show you the way I feel"
1990,Michael Bolton,How Am I Supposed To Live Without You,1,1990-01-03,"I could hardly believe it, when I heard the news today | I had to come and get it straight from you | They said you were leavin', someone's swept your heart away | From the look upon your face, I see it's true |  | So tell me all about it, tell me 'bout the plans you're makin' | Oh, then tell me one thing more before I go |  | Tell me, how am I supposed to live without you | Now that I've been loving you so long? | How am I supposed to live without you? | And how am I supposed to carry on | When all that I've been livin' for is gone? |  | I'm too proud for cryin', didn't come here to break down | It's just a dream of mine is coming to an end | And how can I blame you when I built my world around | The hope that one day we'd be so much more than friends? |  | I don't wanna know the price I'm gonna pay for dreaming, oh | Even now, it's more than I can take |  | Tell me, how am I supposed to live without you | Now that I've been loving you so long? | How am I supposed to live without you? | And how am I supposed to carry on | When all that I've been livin' for is gone? |  |  | Now, I don't wanna know the price I'm gonna pay for dreaming | Oh, now that your dream has come true |  | Tell me, how am I supposed to live without you | Now that I've been lovin' you so long? | How am I supposed to live without you? | And how am I supposed to carry on | When all that I've been livin' for is gone?"
1990,Nelson,(Can't Live Without Your) Love And Affection,1,1990-07-04,"(Here she comes) Mmm, just like an angel | Seems like forever that she's been on my mind | But nothing has changed | She thinks I'm a waste of her time | (There she goes) she don't know what she's missing | Can't she see I'll never give up the fight | I'll do all I can | Till she understands my desire | I've been on the outside looking in | Let me into your heart, oh | There's nothing on earth that should keep us apart | Baby | I can't live without your love and affection | I can't face another night on my own | I'd give up my pride to save me from being alone | 'Cause I can't live without your love | Mmm, your love | (So I wait) Here for an answer | And wonder if tomorrow will be like yesterday | I'll keep holding on | Can't go on living this way, baby | I've been on the outside looking in | Bring my tears to an end, oh | I realize there's no use for me to pretend | Oh yeah | I can't live without your love and affection | I can't face another night on my own | I'd give up my pride to save me from being alone | 'Cause I can't live without your love | (For your love) I'd put my arms around you | (For your love) I'd find the strength to tell you | (For your love) That I can't live without your | I can't live without your love and affection | I can't face another night on my own | I'd give up my pride to save me from being alone | Baby | I can't live without your love and affection | I just can't go on this way anymore | As hard as I try there's one thing that I know for sure | I can't live without your love | (There she goes) | I can't live without your love, baby | (There she goes) | Oh, I can't live without your love | (There she goes) | Oh, I can't live without your love"
1990,New Kids on the Block,Step By Step,1,1990-05-23,"Step by step, ooh baby | Gonna get to you, girl | Step by step, rah |  | Step by step, ooh baby | Gonna get to you, girl | Step by step, ooh baby | Really want you in my world |  | (Step) Hey girl, in your eyes | I see a picture of me all the time | (Step) Hey girl, when you smile | You got to know that you drive me wild |  | (Step by step) Ooh baby | You're always on my mind | (Step by step) Ooh girl | Really think it's just a matter of time |  | Step by step, ooh baby | Gonna get to you girl | Step by step, ooh baby | Really want you in my world |  | (Step) Hey girl, can't you see? | I've got to have you all just for me | (Step) And girl, yes, it's true | No one else will ever do |  | (Step by step) Ooh baby | You're always on my mind | (Step by step) Ooh girl | Really think it's just a matter of time |  | Step by step, ooh baby | Gonna get to you girl | Step by step, ooh baby | Really want you in my world |  | Step, step | Step, step by step | (Step one) We can have lots of fun | (Step two) There's so much we can do | (Step three) It's just you and me | (Step four) I can give you more | (Step five) Don't you know that the time has arrived? | Huh! |  | (Step by step) Don't you know I need you? | (Step by step) Yes, I do, girl | (Step by step) Ooh baby | You're always on my mind | (Step by step) Ooh girl | Really think it's just a matter of time |  | Step by step | (Step by step, girl), ooh baby | Gonna get to you girl, to you girl | Step by step, yeah, ooh baby | (I want you, I need you) | Really want you in my world | (I want you in my world) |  | (Step by step) Ooh, to you girl | (Step by step) Oh girl | Really want you in my world | Step by step, ooh baby | Gonna get to you girl | Step by step, ooh baby"
1990,Paula Abdul (Duet With The Wild Pair),Opposites Attract,1,1990-01-03,"I'm M.C. Kat on the rap, so mic it | Here's a little story and you're sure to like it | Swift and sly and I'm playin' it cool | With my homegirl, Paula Abdul |  | Baby, it seems we never ever agree | You like the movies and I like TV | I take things serious and you take 'em light | I go to bed early and I party all night | Our friends are saying we ain't gonna last | 'Cause I move slowly and baby, I'm fast | I like it quiet and I love to shout | But when we get together, it just all works out |  | I take two steps forward, I take two steps back | We come together 'cause opposites attract | And you know it ain't fiction, just a natural fact | We come together 'cause opposites attract |  | Who'd-a thought we could be lovers? | She makes the bed and he steals the covers | She likes it neat and he makes a mess | I take it easy, baby, I get obsessed | She's got the money and he's always broke | I don't like cigarettes and I like to smoke | Things in common? There just ain't a one! | But when we get together, we have nothin' but fun |  | I take two steps forward, I take two steps back | We come together 'cause opposites attract | And you know it ain't fiction, just a natural fact | We come together 'cause opposites attract | A two steps forward, a two steps back | We come together 'cause opposites attract | And you know it ain't fiction, just a natural fact | We come together 'cause opposites attract |  | You know it, baby, baby |  | Nothing in common, but this trust | I'm like a minus, she's like a plus | One going up, one coming down | But we seem to land on common ground | When things go wrong we make corrections | To keep things moving in the right direction | Try to fight it, but I'm telling you Jack | It's useless, opposites attract |  | Baby, ain't it something how we lasted this long? | You and me proving everyone wrong (na-na-na-na) | Don't think we'll ever get our differences patched (huh) | Don't really matter 'cause we're perfectly matched |  | I take two steps forward, I'll take two steps back | We come together 'cause opposites attract | And you know it ain't fiction, just a natural fact | We come together 'cause opposites attract | A-two steps forward, a-two steps back | We come together 'cause opposites attract | And you know it ain't fiction, just a natural fact | We come together 'cause opposites attract |  | Two steps forward, two steps back | Two steps back | We come together 'cause opposites, opposites attract | It ain't fiction, you know it's a fact | It's a fact | We come together 'cause opposites, opposites | Two steps forward, two steps back | A-two steps back | Opposites attract | We go together, we go together | Two steps forward, two steps back | A-two steps back"
1990,Phil Collins,Another Day In Paradise,1,1990-01-03,"She calls out to the man on the street | ""Sir, can you help me? | It's cold and I've nowhere to sleep | Is there somewhere you can tell me?"" | He walks on, doesn't look back | He pretends he can't hear her | Starts to whistle as he crosses the street | Seems embarrassed to be there |  | Oh, think twice | 'Cause it's another day | For you and me in paradise | Oh, think twice | 'Cause it's another day for you | You and me in paradise |  | Think about it |  | She calls out to the man on the street | He can see she's been crying | She's got blisters on the soles of her feet | She can't walk, but she's trying |  | Oh, think twice | 'Cause it's another day | For you and me in paradise | Oh, think twice | It's just another day for you | You and me in paradise |  | Just think about it |  | Oh, Lord | Is there nothing more anybody can do? | Oh, Lord | There must be something You can say |  | You can tell from the lines on her face | You can see that she's been there | Probably been moved on from every place | 'Cause she didn't fit in there |  | Oh, think twice | 'Cause it's another day | For you and me in paradise | Oh, think twice | It's just another day for you | You and me in paradise |  | Just think about it | Mhm, think about it | It's just another day | For you and me in paradise | It's just another day | For you and me in paradise (Para—, paradise) | Paradise (It's just another day for you and me) | Uh, just think about it (In paradise) | Paradise (It's just another day for you and me) | Just think about it (In paradise, para—, paradise) | It's just in paradise (It's just another day for you and me) | Mhm, paradise (In paradise) | Paradise, just another day (It's just another day for you and me) | Think about it (In paradise, para—, paradise)"
1990,Roxette,"It Must Have Been Love (From ""Pretty Woman"")",1,1990-04-04,"It must have been love | But it's over now |  | Lay a whisper | On my pillow | Leave the winter | On the ground | I wake up lonely | This air of silence | In the bedroom | And all around (All around) |  | Touch me now | I close my eyes | And dream away |  | It must have been love | But it's over now | It must have been good | But I lost it somehow | It must have been love | But it's over now | From the moment we touched | 'Til the time had run out |  | Make believing | We're together | That I'm sheltered | By your heart | But in and outside | I turn to water | Like a teardrop | In your palm |  | And it's a hard | Winter's day | I dream away |  | It must have been love (Must have been love) | But it's over now (But it's over now) | It was all that I wanted | Now I'm living without | It must have been love (Must have been love) | But it's over now (It's over now) | It's where the water flows | It's where the wind blows |  |  | It must have been love (Must have been love) | But it's over now (But it's over now) | It must have been good | But I lost it somehow | It must have been love (Must have been love) | But it's over now (But it's over now) | From the moment we touched | Till the time had run out | Yeah, it must have been love (Must have been love) | But it's over now (But it's over now) | It was all that I wanted | Now I'm living without | It must have been love | But it's over now | It's where the water flows | It's where the wind blows | Oh, oh, oh |  | (It must have been love) | (But it's over now, but it's over now) | Now, ooh, ooh | (Must have been love) | (It must have been love) | (But it's over now, but it's over now) | Now, ooh, ooh"
1990,Sinead O'Connor,Nothing Compares 2 U,1,1990-03-14,"It's been seven hours and fifteen days | Since you took your love away | I go out every night and sleep all day | Since you took your love away | Since you've been gone I can do whatever I want | I can see whomever I choose | I can eat my dinner in a fancy restaurant | But nothing, I said, nothing can take away these blues |  | 'Cause nothing compares | Nothing compares to you |  | It's been so lonely without you here | Like a bird without a song | Nothing can stop these lonely tears from falling | Tell me, baby, where did I go wrong? | I could put my arms around every boy I see | But they'd only remind me of you | I went to the doctor and guess what he told me, guess what he told me | He said, ""Girl, you better try to have fun no matter what you do,"" but he's a fool |  | 'Cause nothing compares | Nothing compares to you |  |  | All the flowers that you planted, mama, in the backyard | All died when you went away | I know that living with you, baby, was sometimes hard | But I'm willing to give it another try |  | Nothing compares | Nothing compares to you | Nothing compares | Nothing compares to you | Nothing compares | Nothing compares to you"
1990,Stevie B,Because I Love You (The Postman Song),1,1990-10-03,"I got your letter from the postman just the other day | So I decided to write you this song | Just to let you know exactly the way I feel | To let you know my love's for real |  | Because I love you, I'll do anything | I'll give you my heart, my everything | Because I love you, I'll be right by your side | To be your light, to be your guide |  | If you should feel that I don't really care | And that you're starting to lose ground | Just let me reassure you that you can count on me | And that I'll always be around |  | Because I love you, my heart's an open door | Girl, won't you please come on in? | Because I love you, I'll be right by your side | To be your light, to be your guide |  |  | If you should feel that I don't really care | And that you're starting to lose ground | Just let me reassure you that you can count on me | And I will always be around |  | Because I love you, my heart's an open door | Girl, won't you please come on in? | Because I love you, I'll be right by your side | To be your light, to be your guide"
1990,Sweet Sensation,If Wishes Came True,1,1990-06-13,"All alone, silence fills my room | But in a memory, I hear you calling me | Close my eyes, and I'm there with you | Like it was yesterday, but then it fades away |  | Take me back, turn back the hands of time | When you kissed me in the warm September rain (Warm September rain) | Back before my heart was filled with pain | If only we could be in love that way again |  | If wishes came true | And all the dreams at night of love were real, I'd be holding you | If wishes came true | Then I would be that someone always special in your heart | We would still be lovers, not apart | If wishes came true |  | Now you're gone, and I'm on my own | Feeling lost inside since you said goodbye | In my dreams, I still feel your touch | Lying next to me, feeling ecstasy |  | Take me back, turn back the hands of time | When you kissed me in the warm September rain (Warm September rain) | Back before my heart was filled with pain | If only we could be in love that way again |  | If wishes came true | And all the dreams at night of love were real, I'd be holding you | If wishes came true | Then I would be that someone always special in your heart | We would still be lovers, not apart | If wishes came true |  | I love you madly | I need you badly | Give our love one more chance |  | Ow! |  | If wishes came true | And all the dreams at night of love were real, I'd be holding you | If wishes came true | Then I would be that someone always special in your heart | We would still be lovers, not apart | If wishes came true"
