Year,Artist,Song,Peak_Pos_That_Year,Full_Release_Year
1999,Ricky Martin,Livin' La Vida Loca,1,1999-04-14
1999,Santana Featuring Rob Thomas,Smooth,1,1999-07-28
1999,TLC,No Scrubs,1,1999-02-17
1999,TLC,Unpretty,1,1999-06-23
1999,Will Smith Featuring Dru Hill & Kool Mo Dee,Wild Wild West,1,1999-05-19
1999,*NSYNC & Gloria Estefan,Music Of My Heart,2,1999-09-01
1999,Brian McKnight,Back At One,2,1999-08-25
1999,Deborah Cox,Nobody's Supposed To Be Here,2,1999-01-06
1999,K-Ci & JoJo,Tell Me It's Real,2,1999-05-26
1999,Pearl Jam,Last Kiss,2,1999-05-26
1999,Puff Daddy Featuring R. Kelly,Satisfy You,2,1999-09-22
1999,Ricky Martin,She's All I Ever Had,2,1999-08-04
1999,Sixpence None the Richer,Kiss Me,2,1999-02-10
1999,Whitney Houston Feat. Faith Evans & Kelly Price,Heartbreak Hotel,2,1999-01-06
1999,Busta Rhymes Featuring Janet,What's It Gonna Be?!,3,1999-03-10
1999,Jessica Simpson,I Wanna Love You Forever,3,1999-10-13
1999,LFO,Summer Girls,3,1999-07-14
1999,Lou Bega,Mambo No. 5 (A Little Bit Of...),3,1999-08-25
1999,Marc Anthony,I Need To Know,3,1999-09-08
1999,Sugar Ray,Every Morning,3,1999-01-06
1999,702,Where My Girls At?,4,1999-04-28
1999,Mariah Carey,I Still Believe,4,1999-02-03
1999,Maxwell,Fortunate,4,1999-04-07
1999,Sarah McLachlan,Angel,4,1999-01-06
1999,Savage Garden,I Knew I Loved You,4,1999-10-20
1999,Smash Mouth,All Star,4,1999-05-19
1999,Whitney Houston,It's Not Right But It's Okay,4,1999-05-05
1999,Whitney Houston,My Love Is Your Love,4,1999-09-01
1999,98 Degrees,The Hardest Thing,5,1999-03-24
1999,Backstreet Boys,All I Have To Give,5,1999-01-27
1999,Divine,Lately,5,1999-01-06
1999,Eagle-Eye Cherry,Save Tonight,5,1999-01-06
1999,Garth Brooks as Chris Gaines,Lost In You,5,1999-09-08
1999,JT Money Featuring Sole,Who Dat,5,1999-04-21
1999,Third Eye Blind,Jumper,5,1999-01-06
1999,98 Degrees,Because Of You,6,1999-01-06
1999,Backstreet Boys,I Want It That Way,6,1999-04-21
1999,Jewel,Hands,6,1999-01-06
1999,"""Missy ""Misdemeanor"" Elliott Featuring Nas, Eve & Q-Tip""",Hot Boyz,7,1999-11-24
1999,Donell Jones,U Know What's Up,7,1999-09-22
1999,Shania Twain,That Don't Impress Me Much,7,1999-01-20
1999,Shawn Mullins,Lullaby,7,1999-01-06
1999,Sugar Ray,Someday,7,1999-06-30
1999,Total Featuring Missy Elliott,Trippin',7,1999-01-06
1999,*NSYNC,(God Must Have Spent) A Little More Time On You,8,1999-01-06
1999,Blaque,808,8,1999-04-14
1999,Deborah Cox With R.L.,We Can't Be Friends,8,1999-09-08
1999,Goo Goo Dolls,Slide,8,1999-01-06
1999,Jennifer Lopez,Waiting For Tonight,8,1999-10-13
1999,Lauryn Hill,Doo Wop (That Thing),8,1999-01-06
1999,B*Witched,C'est La Vie,9,1999-02-17
1999,Blaque,Bring It All To Me,9,1999-10-20
1999,Faith Evans,Love Like This,9,1999-01-06
1999,Faith Evans Featuring Puff Daddy,All Night Long,9,1999-02-03
1999,Len,Steal My Sunshine,9,1999-08-11
1999,Red Hot Chili Peppers,Scar Tissue,9,1999-06-02
1999,Britney Spears,(You Drive Me) Crazy,10,1999-09-15
1999,Case & Joe,Faded Pictures,10,1999-01-06
1999,Chante Moore,Chante's Got A Man,10,1999-05-12
1999,Jesse Powell,You,10,1999-02-17
1999,Joey McIntyre,Stay The Same,10,1999-02-24
1999,Jordan Knight,Give It To You,10,1999-03-31
1999,Kevon Edmonds,24/7,10,1999-11-03
1999,LFO,Girl On TV,10,1999-11-17
1999,Naughty by Nature Featuring Zhane,Jamboree,10,1999-06-30
1999,Shania Twain,From This Moment On,10,1999-01-06
1999,Tim McGraw,Please Remember Me,10,1999-03-31
1999,Christina Aguilera,What A Girl Wants,11,1999-11-24
1999,Gerald Levert,Taking Everything,11,1999-01-27
1999,Spice Girls,Goodbye,11,1999-01-06
1999,Lenny Kravitz,Fly Away,12,1999-01-06
1999,R. Kelly,If I Could Turn Back The Hands Of Time,12,1999-08-25
1999,Shanice,When I Close My Eyes,12,1999-03-24
1999,Sporty Thievz Featuring Mr. Woods,No Pigeons,12,1999-05-12
1999,Tyrese,Sweet Lady,12,1999-01-20
1999,98 Degrees,I Do (Cherish You),13,1999-08-04
1999,Eiffel 65,Blue (Da Ba Dee),13,1999-12-08
1999,Everlast,What It's Like,13,1999-01-06
1999,Ideal,Get Gone,13,1999-08-18
1999,Silk,If You (Lovin' Me),13,1999-03-10
1999,Blackstreet & Mya Featuring Mase & Blinky Blink,Take Me There,14,1999-01-06
1999,Faith Hill,This Kiss,14,1999-01-06
1999,Sarah McLachlan,I Will Remember You (Live),14,1999-05-19
1999,Smash Mouth,Then The Morning Comes,14,1999-10-27
1999,Tal Bachman,She's So High,14,1999-06-16
1999,112 Featuring Lil'z,Anywhere,15,1999-03-17
1999,Case,Happily Ever After,15,1999-06-02
1999,Jagged Edge,He Can't Love U,15,1999-12-08
1999,Jay-Z,Hard Knock Life (Ghetto Anthem),15,1999-01-06
1999,Mo Thugs Family Featuring Bone Thugs-N-Harmony,Ghetto Cowboy,15,1999-01-06
2000,*NSYNC,It's Gonna Be Me,1,2000-05-03
2000,Aaliyah,Try Again,1,2000-03-15
2000,Christina Aguilera,Come On Over Baby (All I Want Is You),1,2000-08-02
2000,Christina Aguilera,What A Girl Wants,1,2000-01-05
2000,Creed,With Arms Wide Open,1,2000-05-10
2000,Destiny's Child,Independent Women Part I,1,2000-09-20
2000,Destiny's Child,Say My Name,1,2000-01-05
2000,Enrique Iglesias,Be With You,1,2000-03-29
2000,Janet,Doesn't Really Matter,1,2000-06-14
2000,Lonestar,Amazed,1,2000-01-05
2000,Madonna,Music,1,2000-08-09
2000,Mariah Carey Featuring Joe & 98 Degrees,Thank God I Found You,1,2000-01-05
2000,Matchbox Twenty,Bent,1,2000-04-26
2000,Santana Featuring Rob Thomas,Smooth,1,2000-01-05
2000,Santana Featuring The Product G&B,Maria Maria,1,2000-02-09
2000,Savage Garden,I Knew I Loved You,1,2000-01-05
2000,Sisqo,Incomplete,1,2000-06-21
2000,Vertical Horizon,Everything You Want,1,2000-01-19
2000,98 Degrees,Give Me Just One Night (Una Noche),2,2000-08-16
2000,Brian McKnight,Back At One,2,2000-01-05
2000,Dream,He Loves U Not,2,2000-09-27
2000,Faith Hill,Breathe,2,2000-01-05
2000,Marc Anthony,You Sang To Me,2,2000-02-23
2000,Mya,Case Of The Ex (Whatcha Gonna Do),2,2000-08-16
2000,"Shaggy Feat. Ricardo ""RikRok"" Ducent",It Wasn't Me,2,2000-11-01
2000,Toni Braxton,He Wasn't Man Enough,2,2000-03-15
2000,3 Doors Down,Kryptonite,3,2000-04-05
2000,Christina Aguilera,I Turn To You,3,2000-04-12
2000,Destiny's Child,"""Jumpin', Jumpin'""",3,2000-05-10
2000,Jessica Simpson,I Wanna Love You Forever,3,2000-01-05
2000,Sisqo,Thong Song,3,2000-01-26
2000,*NSYNC,Bye Bye Bye,4,2000-01-26
2000,Eminem,The Real Slim Shady,4,2000-05-03
2000,Joe,I Wanna Know,4,2000-01-05
2000,Montell Jordan,Get It On Tonite,4,2000-01-05
2000,P!nk,Most Girls,4,2000-08-09
2000,Samantha Mumba,Gotta Tell You,4,2000-09-06
2000,Whitney Houston,My Love Is Your Love,4,2000-01-05
2000,"""Missy ""Misdemeanor"" Elliott Featuring Nas, Eve & Q-Tip""",Hot Boyz,5,2000-01-05
2000,*NSYNC,This I Promise You,5,2000-09-27
2000,Blaque,Bring It All To Me,5,2000-01-05
2000,Macy Gray,I Try,5,2000-02-16
2000,Ruff Endz,No More,5,2000-06-28
2000,Backstreet Boys,Show Me The Meaning Of Being Lonely,6,2000-01-05
2000,Celine Dion,That's The Way It Is,6,2000-01-05
2000,Eiffel 65,Blue (Da Ba Dee),6,2000-01-05
2000,Erykah Badu,Bag Lady,6,2000-08-16
2000,Marc Anthony,I Need To Know,6,2000-01-05
2000,Nine Days,Absolutely (Story Of A Girl),6,2000-05-03
2000,OutKast,Ms. Jackson,6,2000-11-08
2000,blink-182,All The Small Things,6,2000-01-05
2000,Creed,Higher,7,2000-01-05
2000,Faith Hill,The Way You Love Me,7,2000-03-08
2000,Kenny G,Auld Lang Syne,7,2000-01-05
2000,Nelly,(Hot S**t) Country Grammar,7,2000-04-26
2000,Next,Wifey,7,2000-05-24
2000,P!nk,There You Go,7,2000-03-01
2000,Matchbox Twenty,If You're Gone,8,2000-10-18
2000,Sonique,It Feels So Good,8,2000-01-19
2000,Backstreet Boys,Shape Of My Heart,9,2000-10-11
2000,Britney Spears,Oops!...I Did It Again,9,2000-04-19
2000,Debelah Morgan,Dance With Me,10,2000-07-26
2000,Donell Jones,U Know What's Up,10,2000-01-05
2000,Everclear,Wonderful,11,2000-07-05
2000,Ja Rule Featuring Christina Milian,Between Me And You,11,2000-09-13
2000,Jagged Edge,Let's Get Married,11,2000-05-03
2000,Jay-Z,I Just Wanna Love U (Give It 2 Me),11,2000-10-25
2000,LeAnn Rimes,I Need You,11,2000-05-24
2000,Smash Mouth,Then The Morning Comes,11,2000-01-05
2000,Filter,Take A Picture,12,2000-01-05
2000,LFO,Girl On TV,12,2000-01-05
2000,Ricky Martin,She Bangs,12,2000-10-04
2000,BBMak,Back Here,13,2000-04-26
2000,Mystikal,Shake Ya Ass,13,2000-08-09
2000,Britney Spears,From The Bottom Of My Broken Heart,14,2000-01-26
2000,Jennifer Lopez,Waiting For Tonight,14,2000-01-05
2000,Kevon Edmonds,24/7,14,2000-01-05
2000,Profyle,Liar,14,2000-09-13
2000,Red Hot Chili Peppers,Otherside,14,2000-02-09
2000,Third Eye Blind,Never Let You Go,14,2000-01-19
2000,Barenaked Ladies,Pinch Me,15,2000-09-06
2000,Jagged Edge,He Can't Love U,15,2000-01-05
2000,R. Kelly,I Wish,15,2000-09-27
2000,Lenny Kravitz,Again,16,2000-11-15
2000,Nelly,E.I.,16,2000-10-04
2000,504 Boyz,Wobble Wobble,17,2000-04-12
2000,O-Town,Liquid Dreams,17,2000-12-20
2000,Sting Featuring Cheb Mami,Desert Rose,17,2000-05-10
2000,Christina Aguilera,The Christmas Song (Chestnuts Roasting On An Open Fire),18,2000-01-05
2000,Jay-Z Featuring UGK,Big Pimpin',18,2000-04-19
2000,Dixie Chicks,Goodbye Earl,19,2000-03-15
2000,Foo Fighters,Learn To Fly,19,2000-01-05
2000,Kid Rock,Only God Knows Why,19,2000-02-16
2000,Carl Thomas,I Wish,20,2000-03-22
2000,Hanson,This Time Around,20,2000-04-19
2000,Jennifer Lopez,Love Don't Cost A Thing,20,2000-12-06
2000,Lil Bow Wow Featuring Xscape,Bounce With Me,20,2000-08-16
2000,Train,Meet Virginia,20,2000-01-05
2000,Westlife,Swear It Again,20,2000-03-29
2000,Jessica Simpson,I Think I'm In Love With You,21,2000-06-28
2001,"""Christina Aguilera, Lil' Kim, Mya & P!nk""",Lady Marmalade,1,2001-04-11
2001,Alicia Keys,Fallin',1,2001-06-13
2001,Crazy Town,Butterfly,1,2001-01-03
2001,Destiny's Child,Bootylicious,1,2001-06-06
2001,Destiny's Child,Independent Women Part I,1,2001-01-03
2001,Janet,All For You,1,2001-03-14
2001,Jennifer Lopez Featuring Ja Rule,I'm Real,1,2001-07-04
2001,Joe Featuring Mystikal,Stutter,1,2001-01-03
2001,Mary J. Blige,Family Affair,1,2001-07-25
2001,Nickelback,How You Remind Me,1,2001-09-05
2001,OutKast,Ms. Jackson,1,2001-01-03
2001,"Shaggy Feat. Ricardo ""RikRok"" Ducent",It Wasn't Me,1,2001-01-03
2001,Shaggy Featuring Rayvon,Angel,1,2001-01-03
2001,Usher,U Got It Bad,1,2001-09-19
2001,Usher,U Remind Me,1,2001-06-13
2001,Blu Cantrell,Hit 'Em Up Style (Oops!),2,2001-05-02
2001,Destiny's Child,Survivor,2,2001-03-14
2001,Dream,He Loves U Not,2,2001-01-03
2001,Eve Featuring Gwen Stefani,Let Me Blow Ya Mind,2,2001-04-25
2001,Lifehouse,Hanging By A Moment,2,2001-02-07
2001,Mariah Carey Featuring Cameo,Loverboy,2,2001-06-20
2001,Dido,Thank You,3,2001-01-10
2001,Enrique Iglesias,Hero,3,2001-09-26
2001,Jagged Edge With Nelly,Where The Party At,3,2001-05-30
2001,Janet,Someone To Call My Lover,3,2001-06-20
2001,Jennifer Lopez,Love Don't Cost A Thing,3,2001-01-03
2001,Lil' Romeo,My Baby,3,2001-05-16
2001,Nelly Featuring City Spud,Ride Wit Me,3,2001-02-21
2001,O-Town,All Or Nothing,3,2001-06-06
2001,112,Peaches & Cream,4,2001-04-11
2001,Case,Missing You,4,2001-02-07
2001,Ginuwine,Differences,4,2001-07-25
2001,Lenny Kravitz,Again,4,2001-01-03
2001,Madonna,Don't Tell Me,4,2001-01-03
2001,Mya,Case Of The Ex (Whatcha Gonna Do),4,2001-01-03
2001,P!nk,Get The Party Started,4,2001-10-24
2001,Creed,With Arms Wide Open,5,2001-01-03
2001,Matchbox Twenty,If You're Gone,5,2001-01-03
2001,Nelly Furtado,Turn Off The Light,5,2001-08-15
2001,Staind,It's Been Awhile,5,2001-04-11
2001,Train,Drops Of Jupiter (Tell Me),5,2001-03-14
2001,Uncle Kracker,Follow Me,5,2001-03-07
2001,112,It's Over Now,6,2001-01-03
2001,Faith Hill,The Way You Love Me,6,2001-01-03
2001,Ja Rule Featuring Case,Livin' It Up,6,2001-08-29
2001,R. Kelly Featuring Jay-Z,Fiesta,6,2001-03-28
2001,Shakira,"""Whenever, Wherever""",6,2001-10-24
2001,Whitney Houston,The Star Spangled Banner,6,2001-09-26
2001,Aerosmith,Jaded,7,2001-01-24
2001,Ja Rule Featuring Ashanti,Always On Time,7,2001-11-14
2001,"Missy ""Misdemeanor"" Elliott",Get Ur Freak On,7,2001-03-21
2001,City High,What Would You Do?,8,2001-03-21
2001,Debelah Morgan,Dance With Me,8,2001-01-03
2001,Eden's Crush,Get Over Yourself,8,2001-03-28
2001,Ja Rule Featuring Lil' Mo & Vita,Put It On Me,8,2001-01-03
2001,Jay-Z,Izzo (H.O.V.A.),8,2001-07-25
2001,*NSYNC,This I Promise You,9,2001-01-03
2001,Creed,My Sacrifice,9,2001-10-24
2001,Incubus,Drive,9,2001-02-14
2001,Jagged Edge,Promise,9,2001-01-03
2001,Nelly Furtado,I'm Like A Bird,9,2001-02-28
2001,Destiny's Child,Emotion,10,2001-09-26
2001,Enya,Only Time,10,2001-07-11
2001,Faith Hill,There You'll Be,10,2001-05-23
2001,Michael Jackson,You Rock My World,10,2001-09-05
2001,O-Town,Liquid Dreams,10,2001-01-03
2001,S Club 7,Never Had A Dream Come True,10,2001-02-28
2001,Tamia,Stranger In My House,10,2001-01-10
2001,*NSYNC,Gone,11,2001-09-19
2001,Alicia Keys,A Woman's Worth,11,2001-10-24
2001,Britney Spears,Stronger,11,2001-01-03
2001,K-Ci & JoJo,Crazy,11,2001-01-03
2001,Lil' Mo Featuring Fabolous,Superwoman Pt. II,11,2001-03-28
2001,Jay-Z,I Just Wanna Love U (Give It 2 Me),12,2001-01-03
2001,Michelle Branch,Everywhere,12,2001-08-29
2001,3 Doors Down,Kryptonite,13,2001-01-03
2001,Afroman,Because I Got High,13,2001-08-15
2001,Ricky Martin Duet With Christina Aguilera,Nobody Wants To Be Lonely,13,2001-01-24
2001,Sugar Ray,When It's Over,13,2001-05-30
2001,Aaliyah,Rock The Boat,14,2001-09-05
2001,Five for Fighting,Superman (It's Not Easy),14,2001-08-29
2001,Lee Ann Womack,I Hope You Dance,14,2001-01-24
2001,Moby Featuring Gwen Stefani,South Side,14,2001-01-03
2001,Mystikal Featuring Nivea,Danger (Been So Long),14,2001-01-03
2001,R. Kelly,I Wish,14,2001-01-03
2001,Bubba Sparxxx,Ugly,15,2001-08-29
2001,Craig David,Fill Me In,15,2001-06-06
2001,Evan And Jaron,Crazy For This Girl,15,2001-01-03
2001,Jessica Simpson,Irresistible,15,2001-05-16
2001,"Missy ""Misdemeanor"" Elliott",One Minute Man,15,2001-07-11
2001,Nelly,E.I.,15,2001-01-03
2001,Olivia,Bizounce,15,2001-03-14
2001,The Calling,Wherever You Will Go,15,2001-11-07
2001,Lee Greenwood,God Bless The USA,16,2001-09-26
2001,P!nk,Most Girls,16,2001-01-03
2001,Toya,I Do!!,16,2001-05-30
2001,Jay-Z,"""Girls, Girls, Girls""",17,2001-10-10
2001,Samantha Mumba,Gotta Tell You,17,2001-01-03
2001,Trick Daddy,I'm A Thug,17,2001-07-18
2001,Blake Shelton,Austin,18,2001-05-23
2002,Ashanti,Foolish,1,2002-02-13
2002,Eminem,Lose Yourself,1,2002-10-02
2002,Ja Rule Featuring Ashanti,Always On Time,1,2002-01-02
2002,Jennifer Lopez Featuring Ja Rule,Ain't It Funny,1,2002-01-02
2002,Kelly Clarkson,A Moment Like This,1,2002-09-18
2002,Nelly,Hot In Herre,1,2002-05-01
2002,Nelly Featuring Kelly Rowland,Dilemma,1,2002-07-10
2002,Nickelback,How You Remind Me,1,2002-01-02
2002,Usher,U Got It Bad,1,2002-01-02
2002,Avril Lavigne,Complicated,2,2002-05-29
2002,Eminem,Without Me,2,2002-05-08
2002,Eve Featuring Alicia Keys,Gangsta Lovin',2,2002-07-10
2002,Fat Joe Featuring Ashanti,What's Luv?,2,2002-02-13
2002,Linkin Park,In The End,2,2002-01-02
2002,"Missy ""Misdemeanor"" Elliott",Work It,2,2002-09-11
2002,P. Diddy Featuring Usher & Loon,I Need A Girl (Part One),2,2002-03-13
2002,"""Cam'Ron Featuring Juelz Santana, Freekey Zekey & Toya""",Hey Ma,3,2002-08-28
2002,Chad Kroeger Featuring Josey Scott,Hero,3,2002-05-15
2002,Jennifer Lopez Featuring Styles & Jadakiss,Jenny From The Block,3,2002-10-09
2002,Mary J. Blige,Family Affair,3,2002-01-02
2002,No Doubt Featuring Lady Saw,Underneath It All,3,2002-08-28
2002,Usher,U Don't Have To Call,3,2002-02-06
2002,"""Nelly Featuring Kyjuan, Ali & Murphy Lee""",Air Force Ones,4,2002-11-06
2002,"""P. Diddy & Ginuwine Featuring Loon, Mario Winans & Tammy Ruggeri""",I Need A Girl (Part Two),4,2002-06-05
2002,Cam'Ron Featuring Juelz Santana,Oh Boy,4,2002-04-17
2002,Creed,My Sacrifice,4,2002-01-02
2002,Eminem,Cleanin' Out My Closet,4,2002-07-31
2002,Jay-Z Featuring Beyonce Knowles,'03 Bonnie & Clyde,4,2002-10-23
2002,LL Cool J,Luv U Better,4,2002-08-21
2002,Mario,Just A Friend 2002,4,2002-05-22
2002,P!nk,Get The Party Started,4,2002-01-02
2002,*NSYNC Featuring Nelly,Girlfriend,5,2002-02-06
2002,Enrique Iglesias,Hero,5,2002-01-02
2002,Jimmy Eat World,The Middle,5,2002-03-13
2002,No Doubt Featuring Bounty Killer,Hey Baby,5,2002-01-02
2002,Puddle of Mudd,Blurry,5,2002-01-02
2002,Santana Featuring Michelle Branch,The Game Of Love,5,2002-10-02
2002,The Calling,Wherever You Will Go,5,2002-01-02
2002,Vanessa Carlton,A Thousand Miles,5,2002-02-27
2002,"""Irv Gotti Presents The Inc. Featuring Ja Rule, Ashanti, Charli Baltimore & Vita""",Down 4 U,6,2002-06-19
2002,Christina Aguilera,Beautiful,6,2002-11-20
2002,Creed,One Last Breath,6,2002-06-05
2002,Michelle Branch,All You Wanted,6,2002-02-20
2002,Shakira,"""Whenever, Wherever""",6,2002-01-02
2002,Alicia Keys,A Woman's Worth,7,2002-01-02
2002,B2K & P. Diddy,"""Bump, Bump, Bump""",7,2002-11-27
2002,Brandy,What About Us?,7,2002-01-23
2002,Dixie Chicks,Long Time Gone,7,2002-06-19
2002,Kylie Minogue,Can't Get You Out Of My Head,7,2002-01-23
2002,Sean Paul,Gimme The Light,7,2002-05-01
2002,Tweet,Oops (Oh My),7,2002-02-06
2002,Ashanti,Happy,8,2002-05-29
2002,DJ Sammy & Yanou Featuring Do,Heaven,8,2002-05-29
2002,Madonna,Die Another Day,8,2002-10-16
2002,Nivea Featuring Brian & Brandon Casey,Don't Mess With My Man,8,2002-08-07
2002,P!nk,Don't Let Me Get Me,8,2002-03-06
2002,P!nk,Just Like A Pill,8,2002-07-03
2002,Ginuwine,Differences,9,2002-01-02
2002,Shakira,Underneath Your Clothes,9,2002-03-13
2002,Truth Hurts Featuring Rakim,Addictive,9,2002-04-17
2002,Avril Lavigne,Sk8er Boi,10,2002-09-11
2002,Craig David,7 Days,10,2002-01-02
2002,Daniel Bedingfield,Gotta Get Thru This,10,2002-07-24
2002,Jennifer Lopez Featuring Nas,I'm Gonna Be Alright,10,2002-04-24
2002,Ludacris Featuring Mystikal & Infamous 2.0,Move B***h,10,2002-06-05
2002,N.O.R.E.,Nothin',10,2002-05-22
2002,Big Tymers,Still Fly,11,2002-04-10
2002,Busta Rhymes Featuring P. Diddy & Pharrell,Pass The Courvoisier Part II,11,2002-02-27
2002,Erykah Badu Featuring Common,Love Of My Life (An Ode To Hip Hop),11,2002-09-04
2002,Ja Rule Featuring Case,Livin' It Up,11,2002-01-02
2002,Justin Timberlake,Like I Love You,11,2002-09-04
2002,LeAnn Rimes,Can't Fight The Moonlight,11,2002-01-02
2002,*NSYNC,Gone,12,2002-01-02
2002,Enrique Iglesias,Escape,12,2002-02-20
2002,Mary J. Blige Featuring Ja Rule,Rainy Dayz,12,2002-03-27
2002,Default,Wasting My Time,13,2002-01-02
2002,Dixie Chicks,Landslide,13,2002-09-18
2002,John Mayer,No Such Thing,13,2002-05-29
2002,No Doubt,Hella Good,13,2002-04-17
2002,Puddle of Mudd,She Hates Me,13,2002-10-09
2002,Aaliyah,Rock The Boat,14,2002-01-02
2002,Dirty Vegas,Days Go By,14,2002-05-08
2002,Faith Evans,I Love You,14,2002-01-23
2002,Five for Fighting,Superman (It's Not Easy),14,2002-01-02
2002,Michael Jackson,Butterflies,14,2002-01-02
2002,Mr. Cheeks,"""Lights, Camera, Action!""",14,2002-01-02
2002,Aaliyah,Miss You,15,2002-11-27
2002,Angie Martinez Featuring Lil' Mo & Sacario,If I Could Go!,15,2002-06-19
2002,Ashanti,Baby,15,2002-07-24
2002,Fat Joe Featuring R. Kelly,We Thuggin',15,2002-01-02
2002,Mary J. Blige,No More Drama,15,2002-01-02
2002,Aaliyah,I Care 4 U,16,2002-08-21
2002,Avril Lavigne,I'm With You,16,2002-12-04
2002,Musiq,halfcrazy,16,2002-03-20
2002,Nelly Furtado,Turn Off The Light,16,2002-01-02
2002,Toya,I Do!!,16,2002-01-02
2002,Ludacris,Roll Out (My Business),17,2002-01-02
2002,Musiq,dontchange,17,2002-09-04
2002,Sheryl Crow,Soak Up The Sun,17,2002-04-10
2002,Brandy,Full Moon,18,2002-05-01
2003,"""Nelly, P. Diddy & Murphy Lee""",Shake Ya Tailfeather,1,2003-06-25
2003,50 Cent,In Da Club,1,2003-01-08
2003,50 Cent Featuring Nate Dogg,21 Questions,1,2003-03-19
2003,B2K & P. Diddy,"""Bump, Bump, Bump""",1,2003-01-01
2003,Beyonce Featuring Jay Z,Crazy In Love,1,2003-05-21
2003,Beyonce Featuring Sean Paul,Baby Boy,1,2003-08-13
2003,Clay Aiken,This Is The Night,1,2003-06-25
2003,Eminem,Lose Yourself,1,2003-01-01
2003,Jennifer Lopez Featuring LL Cool J,All I Have,1,2003-01-01
2003,Ludacris Featuring Shawnna,Stand Up,1,2003-09-03
2003,OutKast,Hey Ya!,1,2003-10-15
2003,Sean Paul,Get Busy,1,2003-02-19
2003,Ashanti,Rock Wit U (Awww Baby),2,2003-05-07
2003,Chingy,Right Thurr,2,2003-05-14
2003,Christina Aguilera,Beautiful,2,2003-01-01
2003,Ja Rule Featuring Ashanti,Mesmerize,2,2003-01-01
2003,Lil Jon & The East Side Boyz Featuring Ying Yang Twins,Get Low,2,2003-04-30
2003,Lil' Kim Featuring 50 Cent,Magic Stick,2,2003-04-23
2003,"Missy ""Misdemeanor"" Elliott",Work It,2,2003-01-01
2003,OutKast Featuring Sleepy Brown,The Way You Move,2,2003-09-24
2003,R. Kelly,Ignition,2,2003-01-01
2003,Ruben Studdard,Flying Without Wings,2,2003-06-25
2003,"""Nelly Featuring Kyjuan, Ali & Murphy Lee""",Air Force Ones,3,2003-01-01
2003,50 Cent,P.I.M.P.,3,2003-05-28
2003,Aaliyah,Miss You,3,2003-01-01
2003,Busta Rhymes & Mariah Carey Featuring The Flipmode Squad,I Know What You Want,3,2003-03-05
2003,Chingy Featuring Ludacris & Snoop Dogg,Holidae In,3,2003-09-17
2003,Justin Timberlake,Cry Me A River,3,2003-01-01
2003,Kelis,Milkshake,3,2003-10-01
2003,Lumidee,"""Never Leave You - Uh Ooh, Uh Oooh!""",3,2003-05-28
2003,3 Doors Down,When I'm Gone,4,2003-01-01
2003,Alicia Keys,You Don't Know My Name,4,2003-11-12
2003,American Idol Finalists,God Bless The U.S.A.,4,2003-04-30
2003,Avril Lavigne,I'm With You,4,2003-01-01
2003,Fabolous Featuring Mike Shorey & Lil' Mo,Can't Let You Go,4,2003-03-05
2003,Fabolous Featuring Tamia Or Ashanti,Into You,4,2003-06-11
2003,Jay-Z Featuring Beyonce Knowles,'03 Bonnie & Clyde,4,2003-01-01
2003,Kid Rock Featuring Sheryl Crow Or Allison Moorer,Picture,4,2003-01-01
2003,YoungBloodZ Featuring Lil Jon,Damn!,4,2003-08-06
2003,3 Doors Down,Here Without You,5,2003-08-27
2003,Evanescence Featuring Paul McCoy,Bring Me To Life,5,2003-03-12
2003,Jennifer Lopez Featuring Styles & Jadakiss,Jenny From The Block,5,2003-01-01
2003,Justin Timberlake,Rock Your Body,5,2003-03-19
2003,Matchbox Twenty,Unwell,5,2003-03-19
2003,Pharrell Featuring Jay-Z,Frontin',5,2003-06-11
2003,Jagged Edge,Walked Outta Heaven,6,2003-09-03
2003,Snoop Dogg Featuring Pharrell & Uncle Charlie Wilson,Beautiful,6,2003-02-05
2003,Ashanti,Rain On Me,7,2003-08-27
2003,Baby Bash Featuring Frankie J,Suga Suga,7,2003-08-20
2003,Dixie Chicks,Landslide,7,2003-01-01
2003,Tyrese,How You Gonna Act Like That,7,2003-01-01
2003,Ginuwine,In Those Jeans,8,2003-06-11
2003,Jay-Z,Excuse Me Miss,8,2003-02-12
2003,"Missy ""Misdemeanor"" Elliott Featuring Ludacris",Gossip Folks,8,2003-01-01
2003,Nivea Featuring Brian & Brandon Casey,Don't Mess With My Man,8,2003-01-01
2003,Santana Featuring Alex Band Or Chad Kroeger,Why Don't You & I,8,2003-07-23
2003,The Black Eyed Peas,Where Is The Love?,8,2003-06-11
2003,Erykah Badu Featuring Common,Love Of My Life (An Ode To Hip Hop),9,2003-01-01
2003,Kelly Clarkson,Miss Independent,9,2003-05-14
2003,R. Kelly,Step In The Name Of Love,9,2003-08-20
2003,Santana Featuring Michelle Branch,The Game Of Love,9,2003-01-01
2003,Twista Featuring Kanye West & Jamie Foxx,Slow Jamz,9,2003-12-03
2003,Uncle Kracker Featuring Dobie Gray,Drift Away,9,2003-03-26
2003,Beyonce,"""Me, Myself And I""",10,2003-11-12
2003,Jay-Z,Change Clothes,10,2003-11-12
2003,Monica,So Gone,10,2003-04-23
2003,No Doubt Featuring Lady Saw,Underneath It All,10,2003-01-01
2003,No Doubt,It's My Life,11,2003-10-29
2003,Wayne Wonder,No Letting Go,11,2003-01-08
2003,Christina Aguilera Featuring Lil' Kim,Can't Hold Us Down,12,2003-07-30
